updated:{param:relative-date},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2019-02-25,8,2,5,4,9,9
2019-02-24,2,11,3,6,8,9
2019-02-23,1,13,1,7,7,9
2019-02-22,6,8,1,8,7,8
2019-02-21,8,3,1,8,7,8
2019-02-20,9,2,6,4,7,8
2019-02-19,3,7,5,4,7,8
2019-02-18,3,5,7,4,6,8
2019-02-17,2,8,6,3,7,7
2019-02-16,4,9,3,2,7,7
2019-02-15,2,10,4,3,6,6
2019-02-14,7,7,3,3,6,6
2019-02-13,9,6,2,5,5,7
2019-02-12,6,7,2,6,4,7
2019-02-11,9,4,2,5,4,7
2019-02-10,4,6,3,5,5,7
2019-02-09,5,5,3,5,6,6
2019-02-08,5,3,4,3,7,5
2019-02-07,6,4,2,4,8,5
2019-02-06,3,3,6,4,6,5
2019-02-05,2,2,8,3,6,5
2019-02-04,3,2,8,2,6,5
2019-02-03,1,9,6,3,6,5
2019-02-02,2,12,2,3,6,5
2019-02-01,6,9,1,5,4,5
2019-01-31,6,7,1,5,4,5
2019-01-30,7,4,3,4,3,5
2019-01-29,5,3,4,4,5,19
2019-01-28,6,1,5,8,3,19
2019-01-27,0,6,6,9,3,19
2019-01-26,0,10,4,7,3,19
2019-01-25,3,9,4,6,2,19
2019-01-24,4,8,4,7,1,19
2019-01-23,7,3,6,8,1,19
2019-01-22,5,4,6,8,0,20
2019-01-21,3,11,7,4,0,20
2019-01-20,4,8,8,5,1,19
2019-01-19,7,5,8,5,2,18
2019-01-18,8,5,7,3,3,17
2019-01-17,6,9,3,3,4,17
2019-01-16,8,9,5,2,4,17
2019-01-15,3,6,10,0,4,18
2019-01-14,9,3,8,1,5,18
2019-01-13,1,8,7,1,6,21
2019-01-12,1,10,4,1,6,21
2019-01-11,5,11,0,1,7,20
2019-01-10,11,8,2,0,8,19
2019-01-09,9,8,3,0,11,16
2019-01-08,11,2,3,0,11,16
2019-01-07,4,5,4,0,16,17
2019-01-06,2,9,1,0,16,17
2019-01-05,1,11,0,0,16,17
2019-01-04,9,5,0,1,15,17
2019-01-03,5,3,3,4,13,18
2019-01-02,5,0,3,7,13,18
2019-01-01,1,1,5,13,10,17
